Area,Labor Force Participation,Weekly Wages 2023,Total Education 2023,DOE 2023,Area Type,FIPS,Total Pop 2023,Male Pop 2023,Female Pop 2023,White 2023,Black 2023,American Indian 2023,Asian 2023,Hispanic 2023,15 to 19 2023,20 to 24 2023,25 to 29 2023,30 to 34 2023,35 to 39 2023,40 to 44 2023,45 to 49 2023,50 to 54 2023,55 to 59 2023,60 to 64 2023,65 to 69 2023,70 to 74 2023,75 to 79 2023
Accomack County,0.67,957,2162.75,0.699,Urban,1,42778,21431,21347,25272,12064,92,250,5142,2446,2394,2618,2555,2660,2418,2475,2413,2838,2794,2796,2192,1571
Albemarle County,0.73,1415,8813.975,0.79052876,Urban,3,111203,53982,57221,89142,10149,158,6313,5860,10956,9316,6302,7028,6662,7325,6738,6100,6061,5738,5408,4380,3048
Alleghany County,0.60,870,1361.2,0.699,Rural,5,15921,7610,8310,14568,1176,9,49,122,990,768,746,765,913,868,961,1063,1162,1223,1049,925,615
Amelia County,0.63,852,889.7,0.762994547,Rural,7,15654,7838,7817,11389,4009,40,61,230,983,1002,1032,1098,1026,869,888,807,967,939,854,779,594
Amherst County,0.62,848,2239.625,0.633242883,Urban,9,33388,15792,17596,25587,6948,212,210,437,2076,1964,2020,2210,2350,2041,1992,1996,2128,2135,1993,1731,1185
Appomattox County,0.59,732,1157.225,0.662042248,Rural,11,14870,7257,7613,10797,3896,17,56,111,864,811,896,908,982,893,965,985,1092,1058,752,688,503
Arlington County,0.86,2358,10784.025,0.405831644,Urban,13,216333,111267,105066,122333,16747,454,26480,50569,8645,13391,17542,19816,20047,20526,18241,15563,14615,10630,7511,5365,3570
Augusta County,0.68,1094,4482.325,0.771560834,Urban,15,81176,40641,40536,76175,3390,111,436,1234,4520,4015,4714,5099,5729,5551,5159,5302,5468,5680,4817,3920,2554
Bath County,0.68,1034,259.325,0.790057283,Rural,17,4908,2466,2443,4437,387,10,53,23,243,239,298,311,321,282,307,299,357,328,317,304,228
Bedford County,0.63,920,6344.75,0.567870988,Urban,19,78957,39675,39282,73455,4593,73,485,590,4036,3852,5227,5771,5673,4964,4522,4875,5471,5797,4946,4264,2865
Bland County,0.65,1062,439.725,0.956385132,Rural,21,7143,3885,3258,6737,296,1,12,100,367,351,391,432,471,493,505,502,474,474,449,424,306
Botetourt County,0.67,1010,3287.175,0.973463438,Urban,23,36509,18049,18460,34479,1282,57,377,373,1697,1489,1859,2247,2469,2307,2079,2388,2570,2902,2811,2640,1593
Brunswick County,0.53,891,1020.9,0.983710421,Rural,25,18256,9738,8518,7471,10130,11,150,499,1015,990,877,985,1085,1265,1337,1338,1299,1176,1089,898,668
Buchanan County,0.40,1126,1371.45,0.816793748,Urban,27,20969,10479,10490,19594,937,8,118,321,1044,746,839,893,1218,1344,1463,1666,1742,1773,1615,1318,792
Buckingham County,0.55,911,1104.95,0.833896093,Rural,29,17719,9910,7809,10754,6516,34,94,338,812,858,1059,1247,1244,1398,1259,1293,1303,1173,1011,890,580
Campbell County,0.61,1085,3524.975,0.623286388,Urban,31,55550,27053,28497,42461,11459,109,721,836,3432,2991,3213,3528,3763,3978,3594,3361,3537,3414,3156,2491,1509
Caroline County,0.72,914,1573.375,0.649900531,Urban,33,37974,18722,19253,24936,11683,331,355,1092,2045,2080,2594,2656,2831,2523,2338,2496,2557,2369,1892,1564,1060
Carroll County,0.57,730,1706.625,0.854937949,Urban,35,29471,14623,14848,28369,197,11,17,881,1521,1394,1532,1592,1753,1856,1920,2052,2165,2098,2056,1643,1326
Charles City County,0.63,1069,205,0.505517855,Rural,36,8156,3989,4168,3426,4111,517,10,116,445,462,499,496,563,498,465,485,549,527,573,510,367
Charlotte County,0.60,862,1203.35,0.799118679,Rural,37,12170,5984,6186,7754,3979,8,29,400,772,729,839,813,840,707,637,639,647,674,628,566,453
Chesterfield County,0.73,1174,26789.4,0.6648785,Urban,41,387730,191072,196658,244472,100380,969,17653,26854,22652,19897,26084,29166,31507,26320,22624,23563,23825,24412,21807,17705,10521
Clarke County,0.69,1010,1025,0.66257321,Rural,43,19084,9532,9551,17021,1195,30,246,723,921,955,1209,1198,1309,1033,1064,1239,1428,1487,1243,1096,746
Craig County,0.58,867,241.9,1.022386215,Rural,45,5260,2655,2605,5198,24,9,16,13,347,301,345,340,325,296,281,285,302,320,297,285,205
Culpeper County,0.68,1019,3757.65,0.672699991,Urban,47,64730,33511,31220,49958,10444,335,892,3928,3622,3779,4544,4588,4843,4361,4140,4228,4430,4218,3325,2883,1742
Cumberland County,0.59,814,989.125,1.032393408,Rural,49,10993,5338,5655,6442,4037,13,93,442,712,668,801,733,712,641,601,606,642,608,565,533,379
Dickenson County,0.44,1054,1012.7,0.744288837,Rural,51,15866,7648,8218,15505,121,13,27,204,743,589,642,733,954,1030,1015,1128,1228,1327,1313,974,629
Dinwiddie County,0.62,1408,1469.85,0.583100863,Urban,53,34274,17568,16706,20594,12796,71,255,731,2109,1957,1961,2226,2396,2385,2238,2370,2551,2404,1962,1251,868
Essex County,0.65,824,872.275,0.637689092,Rural,57,12243,5919,6323,6484,5231,59,254,242,709,720,824,836,810,755,673,713,716,721,707,639,452
Fairfax County,0.77,2200,90135.425,0.739152619,Urban,59,1119492,553243,566250,553749,107127,2044,244957,213476,72084,66677,73031,71494,68122,63512,69355,68347,73516,68114,62072,52017,32480
Fauquier County,0.72,1208,5841.475,0.776604974,Urban,61,93852,44781,49072,80652,7650,337,1449,4715,5165,4654,5926,6436,6979,5760,5157,5767,6149,6362,5597,4913,3297
Floyd County,0.68,730,1209.5,0.883381746,Rural,63,16824,8304,8520,16055,370,2,25,404,847,728,877,959,1088,1125,1149,1233,1207,1206,994,876,625
Fluvanna County,0.70,1120,1899.325,0.72186494,Urban,65,39768,18271,21496,33342,5557,40,342,1110,1958,1924,2709,2749,2752,2774,2588,2994,2831,2695,2550,1890,1318
Franklin County,0.61,859,3339.45,0.311591837,Urban,67,58762,28707,30055,51870,5516,77,295,1134,3505,3117,3415,3522,3602,3584,3327,3597,3864,3911,3653,3374,2586
Frederick County,0.77,1145,7134,0.740984704,Urban,69,100458,49974,50484,90832,3563,118,1419,5527,5667,5404,6475,7125,7792,7169,6577,6407,6810,6529,5200,3874,2477
Giles County,0.62,989,1374.525,0.808952642,Rural,71,18165,9131,9033,17653,274,19,39,188,976,847,940,991,1029,1102,1148,1227,1333,1317,1195,1062,716
Gloucester County,0.68,859,2210.925,0.818430372,Urban,73,47578,23448,24130,41552,4279,250,570,1129,2360,2217,3013,3261,3479,2942,2688,2898,3330,3523,3050,2512,1725
Goochland County,0.63,2600,1959.8,0.699,Urban,75,28496,13993,14503,21502,6152,29,452,664,1444,1440,1555,1703,1648,1540,1868,1995,2379,2346,1984,1679,1139
Grayson County,0.78,686,681.625,0.77877075,Rural,77,15310,7746,7564,14386,357,17,5,548,783,637,771,773,815,884,947,1037,1174,1205,1127,1027,716
Greene County,0.71,812,1633.85,0.677376603,Urban,79,24157,12422,11735,21504,1777,37,254,788,1396,1272,1714,1800,1612,1574,1396,1650,1706,1457,1292,1001,664
Greensville County,0.68,1128,796.425,0.360125202,Rural,81,11722,7166,4556,4086,7374,2,47,219,582,531,648,713,771,888,923,1074,986,826,719,496,326
Halifax County,0.60,908,3331.25,0.636996705,Urban,83,33831,16324,17507,19642,13205,67,160,760,1913,1598,1684,1728,1953,1966,2043,2165,2306,2450,2237,1986,1376
Hanover County,0.73,1046,8904.175,0.787716242,Urban,85,129302,63000,66302,114959,9831,405,2744,2232,7276,6815,8731,9536,9730,7424,6831,7436,8044,8384,7685,6347,4469
Henrico County,0.73,1421,21074,0.643581084,Urban,87,350389,167836,182552,193534,114275,894,28027,15088,20815,22746,26387,25188,22440,20972,21291,20714,21499,20394,18259,14638,9536
Henry County,0.64,835,3984.175,0.488640471,Urban,89,52978,26144,26834,33584,12508,82,515,6343,3004,2698,2804,3035,3187,3331,3331,3660,3858,3741,3304,2734,1977
Highland County,0.72,754,52.275,0.699,Rural,91,2331,1156,1175,2309,#DIV/0!,5,3,15,116,102,140,143,152,98,114,102,137,157,164,178,122
Isle of Wight County,0.69,1317,2542,0.739386829,Urban,93,46042,21966,24075,35041,9988,154,362,846,2360,2231,3102,3282,3376,2904,2436,2791,3103,3343,3034,2200,1346
James City County,0.64,1010,4911.8,0.860887515,Urban,95,87191,42926,44265,73828,9255,208,2501,2364,4441,4805,4782,4997,5092,5019,4726,4666,5235,5457,5718,5717,4246
King and Queen County,0.71,950,423.325,0,Rural,97,7295,3573,3722,4744,2246,109,28,174,416,427,478,487,488,443,369,388,430,439,460,398,313
King George County,0.75,1858,2655.775,0.794723223,Urban,99,31911,16195,15716,24292,6028,168,857,1018,1879,1858,2118,2245,2304,2185,2004,2174,2260,1985,1632,1328,866
King William County,0.71,1080,1717.9,0.672202121,Rural,101,19932,9855,10077,15156,3998,263,151,503,1166,1147,1215,1282,1286,1061,1351,1273,1405,1299,1159,930,682
Lancaster County,0.65,940,838.45,0.529101146,Rural,103,11476,5792,5685,7083,4057,14,116,212,602,644,686,770,811,626,593,557,634,683,717,650,555
Lee County,0.49,794,1913.675,0.368693399,Urban,105,24755,11899,12856,24040,164,93,149,318,1327,1072,1175,1338,1514,1735,1690,1726,1829,1889,1650,1469,931
Loudoun County,0.80,1593,36920.5,0.79574548,Urban,107,496555,244645,251910,379325,28691,554,55399,39335,29672,32300,46794,42989,36350,29226,29003,30128,29704,24904,17556,14636,9843
Louisa County,0.74,1107,1943.4,0.411650104,Urban,109,44119,21400,22719,36662,7008,175,203,558,2305,2234,3178,3278,3233,2682,2282,2577,2881,2938,2696,2220,1370
Lunenburg County,0.63,828,1057.8,0.613462673,Rural,111,13345,7169,6176,7499,5086,17,90,657,663,728,777,909,978,963,825,849,825,838,809,701,498
Madison County,0.76,899,813.85,0.890626711,Rural,113,16063,7756,8307,13543,1955,21,273,325,742,749,800,918,1081,945,1016,1115,1236,1241,1078,893,622
Mathews County,0.57,730,922.5,0.632751234,Rural,115,9074,4347,4728,7924,932,15,38,167,422,504,513,583,618,491,529,512,576,611,587,607,476
Mecklenburg County,0.56,878,2973.525,0.786902245,Urban,117,32579,17135,15444,18737,12394,65,312,1085,1603,1495,1750,1963,2101,2139,2102,2159,2345,2275,2045,1811,1292
Middlesex County,0.64,886,771.825,0.828216512,Rural,119,12367,5966,6400,9595,2500,33,22,247,594,608,754,847,839,689,663,669,748,765,814,773,688
Montgomery County,0.72,1068,9364.4,0.529381411,Urban,121,98610,51835,46775,90867,2649,128,3208,1886,9722,14414,6040,6152,6290,7818,6623,5036,4643,3911,3493,2954,1958
